Team,Player,Acc Name,Acc Server,Acc Id
Fnatic,Bwipo,I will trade,KR,3356020956
Fnatic,Broxah,FNC Brox,KR,2025838622985790
Fnatic,Caps,Fnc Caps Mid,KR,2025838332054590
Fnatic,Soaz,iGiveYouMonkey,KR,2025838478625850
Fnatic,Rekkles,fpzmffptm,KR,2025838167133280
Fnatic,Hylissang,Svveeney Todd,KR,2025838896811100
KT Rolster,Ucal,KT Ucal,KR,206107682
KT Rolster,PawN,321niaR,KR,209270513
KT Rolster,Rush,RushRush,KR,2040325950590752
KT Rolster,Mata,???,KR,210168129
KT Rolster,Smeb,????????,KR,201403307
KT Rolster,Deft,??????,KR,200933520
KT Rolster,Score,lastflame,KR,669319
Afreeca Freecs,Ruby,Afreeca Ruby,KR,208533470
Afreeca Freecs,Mowgli,Afreeca M0wgli,KR,204556794
Afreeca Freecs,Summit,aceerfa,KR,204024521
Afreeca Freecs,Jelly,???? ???,KR,203780321
Afreeca Freecs,Kiin,???3????,KR,202001440
Afreeca Freecs,Spirit,Afreeca Spirit,KR,1893908
Afreeca Freecs,KurO,Afreeca Kuro,KR,232934
Afreeca Freecs,TusiN,???,KR,3872328
Afreeca Freecs,Kramer,Afreeca Kramer,KR,2525174
Gen.G,Crown,Gen G Crown,KR,3022592
Gen.G,Fly,???????,KR,2099284
Gen.G,CuVee,Gen G cuvee,KR,1309737
Gen.G,Stitch,GRX Stitch,KR,200584224
Gen.G,Haru,KunikidaHanamaru,KR,207609618
Gen.G,TrAce,GenG LlFE,KR,305533
Gen.G,Core JJ,Gen G CoreJJ,KR,3511615
Gen.G,Ambition,Gen G Ambition,KR,1040342
Gen.G,Ruler,Gen G Ruler,KR,206358340
Royal Never Give Up,Zz1tai,SworDance,KR,2037016382279640
Royal Never Give Up,Karsa,Kiana KasIana,KR,694099
Royal Never Give Up,Mixg,lpwafdw02,KR,2037015656140544
Royal Never Give Up,Xiaohu,ybczzl,KR,2037015794208570
Royal Never Give Up,Uzi,FNC Rekkles1,KR,2037015927246300
Royal Never Give Up,Able,lpwafdw08,KR,2037016525688480
Invictus Gaming,Duke,,KR,2212413
Invictus Gaming,TheShy,,KR,207990525
Invictus Gaming,TheShy,,KR,207303528
Invictus Gaming,Ning,,KR,208191209
Invictus Gaming,Rookie,,KR,3516152
Invictus Gaming,Rookie,,KR,927790
Invictus Gaming,JackeyLove,,KR,2037020274937630
Invictus Gaming,Baolan,,KR,2037020132134720
Team Vitality,Dreams,V Dreams,EUW1,231031676
Team Vitality,Jactroll,V Jactroll,KR,2025839586545470
Team Vitality,Attila,VIT Attila,EUW1,2025839450180800
Team Vitality,Jiizuke,V ITALY Jiizuke,EUW1,2025839317757440
Team Vitality,Kikis,????? ??,KR,2025839184636990
Team Vitality,Cabochard,otwoeur11,KR,2025839035386970
Team Vitality,Gilius,G0DGILIUS,EUW1,23396278
Team Liquid,Joey,Joeyyy,NA1,228269359
Team Liquid,V1PER,TL V1per,KR,2030080710995000
Team Liquid,Impact,??????,KR,2030080067169720
Team Liquid,Olleh,Me Korean,KR,2030080584593310
Team Liquid,Pobelter,TL POB,KR,2030080332664540
Team Liquid,Xmithie,?????,KR,2030080203648570
Team Liquid,Doublelift,NA OMEGALUL,KR,2030080459501470
100 Thieves,Levi,L 5 22 9,KR,2030096276860730
100 Thieves,Ryu,XDXDXDXDXD,KR,669822
100 Thieves,Stunt,5tunt,NA1,229139287
100 Thieves,AnDa,chorongie2,KR,2031465489706940
100 Thieves,Cody Sun,oqtoht04,KR,2031465763827680
100 Thieves,Aphromoo,Jetaun,KR,2031465905672120
100 Thieves,Ssumday,????,KR,754508
Flash Wolves,SwordArt,FW SwordArT,KR,4721132
Flash Wolves,Hanabi,,KR,210159896
Flash Wolves,MMD,,KR,210160071
Flash Wolves,Moojin,,KR,202422138
Flash Wolves,Morning,,KR,210160073
Flash Wolves,Maple,,KR,714214
Flash Wolves,Betty,,KR,210159894
Flash Wolves,ShiauC,,KR,210160074
MAD Team,Liang,,KR,2037064384606010
MAD Team,Rock,,KR,210167328
MAD Team,Benny,,KR,2037064677937080
MAD Team,Kongyue,,KR,2037064538394360
MAD Team,Uniboy,,KR,2037064810761690
MAD Team,Breeze,,KR,210249023
MAD Team,K,,KR,2037064952450810
Phong V? Buffalo,Zeros,,KR,210217049
Phong V? Buffalo,Melodias,,KR,209467729
Phong V? Buffalo,XuHao,,KR,1733119
Phong V? Buffalo,Naul,,KR,209034082
Phong V? Buffalo,BigKoro,,KR,209034104
Phong V? Buffalo,Palette,,KR,209034233
EDward Gaming,Nofe,,KR,899109
EDward Gaming,Zet,? ?,KR,208772672
EDward Gaming,Mouse,,KR,205502883
EDward Gaming,Fireloli,,KR,208772482
EDward Gaming,Haro,,KR,209285242
EDward Gaming,Scout,,KR,205832214
EDward Gaming,Scout,????,KR,5481350
EDward Gaming,Audi,,KR,209455690
EDward Gaming,Meiko,,KR,6567623
EDward Gaming,Clearlove,,KR,208940152
G2 Esports,Wunder,NO Kingen,EUW1,230225391
G2 Esports,Wunder,Kim Bae in,EUW1,25288003
G2 Esports,Wunder,50 percent wr,KR,2025842417536440
G2 Esports,Perkz,,KR,2025842675551960
G2 Esports,Hjarnan,,KR,2025842803707710
G2 Esports,Jankos,,EUW1,207649506
G2 Esports,Jankos,,KR,2025842544897760
G2 Esports,Jankos,,EUW1,24467412
G2 Esports,Wadid,,KR,2025842271972860
Cloud9,Keith,,NA1,229187584
Cloud9,Zeyzal,,KR,2034933802840030
Cloud9,Goldenglue,,NA1,208571410
Cloud9,Blaber,,KR,2034933764230680
Cloud9,Svenskeren,,NA1,203957602
Cloud9,Licorice,,KR,2034933754801920
Cloud9,Jensen,,KR,2034933780803390
Cloud9,Sneaky,,NA1,203580544
Cloud9,Sneaky,,KR,2034933795614520
Cloud10,Smoothie,,NA1,33955468
G-Rex,PK,,KR,204131736
G-Rex,baybay,,KR,3325510
G-Rex,Empt2y,,KR,2002446160710840
G-Rex,Raise,,KR,2140699
G-Rex,Candy,,KR,4020503
G-Rex,Koala,,KR,210167237
G-Rex,Stitch,,KR,200584224
KaBuM! e-Sports,Zantis,,KR,2030056405036090
KaBuM! e-Sports,Dynquedo,,KR,2030056672226810
KaBuM! e-Sports,Riyev,,KR,2030056943807930
KaBuM! e-Sports,Ranger,,KR,2030056541949370
KaBuM! e-Sports,TitaN,,KR,2030056812851000
KaBuM! e-Sports,Wos,,BR1,509608
KaBuM! e-Sports,TheFoxz,,BR1,211934401
SuperMassive eSports,Stomaged,,EUW1,238643177
SuperMassive eSports,GBM,,KR,2027136884387640
SuperMassive eSports,Zeitnot,,EUW1,238643439
SuperMassive eSports,fabFabulous,,KR,2027137148964760
SuperMassive eSports,SnowFlower,,KR,6127074
DetonatioN FocusMe,Evi,,KR,210196508
DetonatioN FocusMe,Steal,,KR,207677337
DetonatioN FocusMe,viviD,,KR,1702601
DetonatioN FocusMe,Ceros,,KR,210196282
DetonatioN FocusMe,Yutapon,,KR,210196511
Kaos Latin Gamers,Nate,,KR,2030761315282910
Kaos Latin Gamers,Tierwulf,,KR,2030761466580440
Kaos Latin Gamers,Plugo,,KR,2030761608409050
Kaos Latin Gamers,Fix,,KR,2030761749655070
Kaos Latin Gamers,Baltica,,KR,2030761884651260
Kaos Latin Gamers,Zealot,,KR,2030762017771160
Dire Wolves,BioPanther,,KR,2027129637719550
Dire Wolves,k1ng,,KR,2027130037759040
Dire Wolves,Triple,,KR,2027129908318110
Dire Wolves,Shernfire,,KR,2027129780006330
Dire Wolves,Rippii,,KR,2027130294464000
Dire Wolves,Cupcake,,KR,2027131960274010
Ascension Gaming,Rockky,,KR,210217104
Ascension Gaming,Lloyd,,KR,203455551
Ascension Gaming,G4,,KR,210216799
Ascension Gaming,Nik Sar,,KR,2026606574062650
Ascension Gaming,Rich,,KR,210217301
Ascension Gaming,InTreso,,EUW1,240064723
